num	quantity_flies	line	antibiotic	age	original_infect_status	treatment
1	28	Um15-12	contr	young	uninfected	cold
2	16	Um15-12	contr	young	uninfected	cold
3	23	Um15-12	contr	young	uninfected	cold
4	24	Um15-12	contr	young	uninfected	cold
5	20	Um15-12	contr	young	uninfected	cold
6	28	Um15-12	contr	young	uninfected	cold
7	28	Um15-12	contr	young	uninfected	cold
8	24	Um15-12	contr	young	uninfected	cold
9	27	Um15-12	contr	young	uninfected	cold
10	25	Um15-12	contr	young	uninfected	cold
1	28	Um15-12	tet	young	uninfected	cold
2	21	Um15-12	tet	young	uninfected	cold
3	20	Um15-12	tet	young	uninfected	cold
4	33	Um15-12	tet	young	uninfected	cold
5	25	Um15-12	tet	young	uninfected	cold
6	27	Um15-12	tet	young	uninfected	cold
7	24	Um15-12	tet	young	uninfected	cold
8	25	Um15-12	tet	young	uninfected	cold
9	21	Um15-12	tet	young	uninfected	cold
10	26	Um15-12	tet	young	uninfected	cold
1	21	Um15-12	contr	aged	uninfected	cold
2	27	Um15-12	contr	aged	uninfected	cold
3	29	Um15-12	contr	aged	uninfected	cold
4	24	Um15-12	contr	aged	uninfected	cold
5	31	Um15-12	contr	aged	uninfected	cold
6	25	Um15-12	contr	aged	uninfected	cold
7	25	Um15-12	contr	aged	uninfected	cold
8	29	Um15-12	contr	aged	uninfected	cold
9	29	Um15-12	contr	aged	uninfected	cold
10	30	Um15-12	contr	aged	uninfected	cold
1	24	Um15-12	tet	aged	uninfected	cold
2	29	Um15-12	tet	aged	uninfected	cold
3	26	Um15-12	tet	aged	uninfected	cold
4	31	Um15-12	tet	aged	uninfected	cold
5	25	Um15-12	tet	aged	uninfected	cold
6	30	Um15-12	tet	aged	uninfected	cold
7	27	Um15-12	tet	aged	uninfected	cold
8	23	Um15-12	tet	aged	uninfected	cold
9	28	Um15-12	tet	aged	uninfected	cold
10	29	Um15-12	tet	aged	uninfected	cold
1	27	Um25-12	contr	young	wMelCS	cold
2	24	Um25-12	contr	young	wMelCS	cold
3	21	Um25-12	contr	young	wMelCS	cold
4	27	Um25-12	contr	young	wMelCS	cold
5	13	Um25-12	contr	young	wMelCS	cold
6	16	Um25-12	contr	young	wMelCS	cold
7	26	Um25-12	contr	young	wMelCS	cold
8	24	Um25-12	contr	young	wMelCS	cold
9	27	Um25-12	contr	young	wMelCS	cold
10	24	Um25-12	contr	young	wMelCS	cold
1	34	Um25-12	tet	young	wMelCS	cold
2	25	Um25-12	tet	young	wMelCS	cold
3	23	Um25-12	tet	young	wMelCS	cold
4	23	Um25-12	tet	young	wMelCS	cold
5	24	Um25-12	tet	young	wMelCS	cold
6	23	Um25-12	tet	young	wMelCS	cold
7	28	Um25-12	tet	young	wMelCS	cold
8	24	Um25-12	tet	young	wMelCS	cold
9	26	Um25-12	tet	young	wMelCS	cold
10	27	Um25-12	tet	young	wMelCS	cold
1	15	Um25-12	contr	aged	wMelCS	cold
2	27	Um25-12	contr	aged	wMelCS	cold
3	30	Um25-12	contr	aged	wMelCS	cold
4	31	Um25-12	contr	aged	wMelCS	cold
5	24	Um25-12	contr	aged	wMelCS	cold
6	28	Um25-12	contr	aged	wMelCS	cold
7	24	Um25-12	contr	aged	wMelCS	cold
8	25	Um25-12	contr	aged	wMelCS	cold
9	27	Um25-12	contr	aged	wMelCS	cold
10	30	Um25-12	contr	aged	wMelCS	cold
1	25	Um25-12	tet	aged	wMelCS	cold
2	22	Um25-12	tet	aged	wMelCS	cold
3	31	Um25-12	tet	aged	wMelCS	cold
4	23	Um25-12	tet	aged	wMelCS	cold
5	32	Um25-12	tet	aged	wMelCS	cold
6	28	Um25-12	tet	aged	wMelCS	cold
7	30	Um25-12	tet	aged	wMelCS	cold
8	24	Um25-12	tet	aged	wMelCS	cold
9	32	Um25-12	tet	aged	wMelCS	cold
10	29	Um25-12	tet	aged	wMelCS	cold
1	20	Um59-12	contr	young	wMel	cold
2	16	Um59-12	contr	young	wMel	cold
3	17	Um59-12	contr	young	wMel	cold
4	19	Um59-12	contr	young	wMel	cold
5	27	Um59-12	contr	young	wMel	cold
6	18	Um59-12	contr	young	wMel	cold
7	19	Um59-12	contr	young	wMel	cold
8	21	Um59-12	contr	young	wMel	cold
9	24	Um59-12	contr	young	wMel	cold
10	23	Um59-12	contr	young	wMel	cold
1	24	Um59-12	tet	young	wMel	cold
2	20	Um59-12	tet	young	wMel	cold
3	21	Um59-12	tet	young	wMel	cold
4	25	Um59-12	tet	young	wMel	cold
5	23	Um59-12	tet	young	wMel	cold
6	25	Um59-12	tet	young	wMel	cold
7	27	Um59-12	tet	young	wMel	cold
8	22	Um59-12	tet	young	wMel	cold
9	20	Um59-12	tet	young	wMel	cold
10	26	Um59-12	tet	young	wMel	cold
1	21	Um59-12	contr	aged	wMel	cold
2	25	Um59-12	contr	aged	wMel	cold
3	37	Um59-12	contr	aged	wMel	cold
4	23	Um59-12	contr	aged	wMel	cold
5	25	Um59-12	contr	aged	wMel	cold
6	24	Um59-12	contr	aged	wMel	cold
7	35	Um59-12	contr	aged	wMel	cold
8	40	Um59-12	contr	aged	wMel	cold
9	26	Um59-12	contr	aged	wMel	cold
10	34	Um59-12	contr	aged	wMel	cold
1	27	Um59-12	tet	aged	wMel	cold
2	21	Um59-12	tet	aged	wMel	cold
3	31	Um59-12	tet	aged	wMel	cold
4	25	Um59-12	tet	aged	wMel	cold
5	23	Um59-12	tet	aged	wMel	cold
6	24	Um59-12	tet	aged	wMel	cold
7	25	Um59-12	tet	aged	wMel	cold
8	28	Um59-12	tet	aged	wMel	cold
9	32	Um59-12	tet	aged	wMel	cold
10	27	Um59-12	tet	aged	wMel	cold
1	35	C-S	contr	young	wMelCS	cold
2	39	C-S	contr	young	wMelCS	cold
3	15	C-S	contr	young	wMelCS	cold
4	18	C-S	contr	young	wMelCS	cold
5	24	C-S	contr	young	wMelCS	cold
6	14	C-S	contr	young	wMelCS	cold
7	24	C-S	contr	young	wMelCS	cold
8	24	C-S	contr	young	wMelCS	cold
9	15	C-S	contr	young	wMelCS	cold
10	25	C-S	contr	young	wMelCS	cold
1	28	C-S	tet	young	wMelCS	cold
2	19	C-S	tet	young	wMelCS	cold
3	28	C-S	tet	young	wMelCS	cold
4	24	C-S	tet	young	wMelCS	cold
5	29	C-S	tet	young	wMelCS	cold
6	26	C-S	tet	young	wMelCS	cold
7	23	C-S	tet	young	wMelCS	cold
8	26	C-S	tet	young	wMelCS	cold
9	23	C-S	tet	young	wMelCS	cold
10	24	C-S	tet	young	wMelCS	cold
1	23	C-S	contr	aged	wMelCS	cold
2	28	C-S	contr	aged	wMelCS	cold
3	30	C-S	contr	aged	wMelCS	cold
4	32	C-S	contr	aged	wMelCS	cold
5	25	C-S	contr	aged	wMelCS	cold
6	27	C-S	contr	aged	wMelCS	cold
7	30	C-S	contr	aged	wMelCS	cold
8	29	C-S	contr	aged	wMelCS	cold
9	20	C-S	contr	aged	wMelCS	cold
10	21	C-S	contr	aged	wMelCS	cold
1	27	C-S	tet	aged	wMelCS	cold
2	30	C-S	tet	aged	wMelCS	cold
3	29	C-S	tet	aged	wMelCS	cold
4	24	C-S	tet	aged	wMelCS	cold
5	19	C-S	tet	aged	wMelCS	cold
6	25	C-S	tet	aged	wMelCS	cold
7	23	C-S	tet	aged	wMelCS	cold
8	29	C-S	tet	aged	wMelCS	cold
9	24	C-S	tet	aged	wMelCS	cold
10	30	C-S	tet	aged	wMelCS	cold
1	22	Um37-12	contr	young	uninfected	cold
2	24	Um37-12	contr	young	uninfected	cold
3	28	Um37-12	contr	young	uninfected	cold
4	27	Um37-12	contr	young	uninfected	cold
5	29	Um37-12	contr	young	uninfected	cold
6	28	Um37-12	contr	young	uninfected	cold
7	29	Um37-12	contr	young	uninfected	cold
8	33	Um37-12	contr	young	uninfected	cold
9	26	Um37-12	contr	young	uninfected	cold
