pseudo_numbering	tube_number	fecundity	line	wolbachia	antibio
1	1	11	Um25-12	wMelCS	control
2	2	13	Um25-12	wMelCS	control
3	3	21	Um25-12	wMelCS	control
4	4	23	Um25-12	wMelCS	control
5	4	14	Um25-12	wMelCS	control
6	1	18	Um25-12	wMelCS	control
7	2	15	Um25-12	wMelCS	control
8	5	18	Um25-12	wMelCS	control
9	7	26	Um25-12	wMelCS	control
10	6	11	Um25-12	wMelCS	control
11	9	22	Um25-12	wMelCS	control
12	10	27	Um25-12	wMelCS	control
13	10	4	Um25-12	wMelCS	control
14	10	7	Um25-12	wMelCS	control
15	10	26	Um25-12	wMelCS	control
16	10	0	Um25-12	wMelCS	control
1	5	25	Um25-12	wMelCS	tet
2	8	31	Um25-12	wMelCS	tet
3	7	8	Um25-12	wMelCS	tet
4	3	9	Um25-12	wMelCS	tet
5	6	11	Um25-12	wMelCS	tet
6	1	27	Um25-12	wMelCS	tet
7	1	13	Um25-12	wMelCS	tet
8	2	16	Um25-12	wMelCS	tet
9	7	16	Um25-12	wMelCS	tet
10	16	13	Um25-12	wMelCS	tet
11	14	20	Um25-12	wMelCS	tet
12	8	11	Um25-12	wMelCS	tet
13	10	12	Um25-12	wMelCS	tet
14	6	27	Um25-12	wMelCS	tet
15	4	11	Um25-12	wMelCS	tet
16	1	19	Um25-12	wMelCS	tet
17	9	23	Um25-12	wMelCS	tet
18	13	17	Um25-12	wMelCS	tet
19	17	27	Um25-12	wMelCS	tet
20	19	22	Um25-12	wMelCS	tet
21	19	7	Um25-12	wMelCS	tet
22	19	6	Um25-12	wMelCS	tet
23	19	4	Um25-12	wMelCS	tet
24	19	1	Um25-12	wMelCS	tet
25	19	0	Um25-12	wMelCS	tet
26	19	0	Um25-12	wMelCS	tet
27	19	3	Um25-12	wMelCS	tet
28	19	4	Um25-12	wMelCS	tet
29	19	6	Um25-12	wMelCS	tet
1	1	15	Um59-12	wMel	control
2	2	19	Um59-12	wMel	control
3	3	28	Um59-12	wMel	control
4	4	35	Um59-12	wMel	control
5	5	10	Um59-12	wMel	control
6	6	20	Um59-12	wMel	control
7	9	42	Um59-12	wMel	control
8	1	16	Um59-12	wMel	control
9	2	10	Um59-12	wMel	control
10	4	17	Um59-12	wMel	control
11	11	17	Um59-12	wMel	control
12	12	25	Um59-12	wMel	control
13	14	17	Um59-12	wMel	control
14	15	26	Um59-12	wMel	control
15	15	1	Um59-12	wMel	control
16	15	0	Um59-12	wMel	control
17	15	6	Um59-12	wMel	control
18	15	5	Um59-12	wMel	control
19	15	7	Um59-12	wMel	control
20	15	6	Um59-12	wMel	control
21	15	22	Um59-12	wMel	control
22	15	12	Um59-12	wMel	control
1	1	35	Um59-12	wMel	tet
2	2	10	Um59-12	wMel	tet
3	1	28	Um59-12	wMel	tet
4	2	25	Um59-12	wMel	tet
5	3	47	Um59-12	wMel	tet
6	4	22	Um59-12	wMel	tet
7	5	33	Um59-12	wMel	tet
8	6	25	Um59-12	wMel	tet
9	8	25	Um59-12	wMel	tet
10	11	24	Um59-12	wMel	tet
11	12	24	Um59-12	wMel	tet
12	15	19	Um59-12	wMel	tet
13	16	24	Um59-12	wMel	tet
14	5	25	Um59-12	wMel	tet
15	4	17	Um59-12	wMel	tet
16	7	17	Um59-12	wMel	tet
17	6	16	Um59-12	wMel	tet
18	1	15	Um59-12	wMel	tet
19	1	3	Um59-12	wMel	tet
20	1	2	Um59-12	wMel	tet
21	1	25	Um59-12	wMel	tet
22	1	29	Um59-12	wMel	tet
23	1	0	Um59-12	wMel	tet
24	1	5	Um59-12	wMel	tet
25	1	4	Um59-12	wMel	tet
26	1	8	Um59-12	wMel	tet
27	1	6	Um59-12	wMel	tet
28	1	9	Um59-12	wMel	tet
1	1	18	Um8-12	wMel	control
2	2	23	Um8-12	wMel	control
3	3	19	Um8-12	wMel	control
4	4	26	Um8-12	wMel	control
5	1	33	Um8-12	wMel	control
6	4	24	Um8-12	wMel	control
7	5	28	Um8-12	wMel	control
8	6	18	Um8-12	wMel	control
9	2	16	Um8-12	wMel	control
10	1	21	Um8-12	wMel	control
11	2	20	Um8-12	wMel	control
12	5	24	Um8-12	wMel	control
13	2	28	Um8-12	wMel	control
14	3	21	Um8-12	wMel	control
15	7	11	Um8-12	wMel	control
16	8	11	Um8-12	wMel	control
17	11	20	Um8-12	wMel	control
18	11	39	Um8-12	wMel	control
19	11	0	Um8-12	wMel	control
1	4	23	Um8-12	wMel	tet
2	8	17	Um8-12	wMel	tet
3	9	24	Um8-12	wMel	tet
4	1	15	Um8-12	wMel	tet
5	2	19	Um8-12	wMel	tet
6	4	14	Um8-12	wMel	tet
7	9	17	Um8-12	wMel	tet
8	8	16	Um8-12	wMel	tet
9	7	12	Um8-12	wMel	tet
10	6	15	Um8-12	wMel	tet
11	5	17	Um8-12	wMel	tet
12	3	21	Um8-12	wMel	tet
13	4	13	Um8-12	wMel	tet
14	7	25	Um8-12	wMel	tet
15	9	16	Um8-12	wMel	tet
16	11	16	Um8-12	wMel	tet
17	12	23	Um8-12	wMel	tet
18	1	18	Um8-12	wMel	tet
19	2	22	Um8-12	wMel	tet
20	6	27	Um8-12	wMel	tet
21	6	2	Um8-12	wMel	tet
22	6	5	Um8-12	wMel	tet
23	6	5	Um8-12	wMel	tet
24	6	5	Um8-12	wMel	tet
25	6	6	Um8-12	wMel	tet
26	6	4	Um8-12	wMel	tet
27	6	5	Um8-12	wMel	tet
28	6	5	Um8-12	wMel	tet
29	6	6	Um8-12	wMel	tet
30	6	4	Um8-12	wMel	tet
31	6	4	Um8-12	wMel	tet
1	1	14	Um37-12	uninfected	control
3	3	9	Um37-12	uninfected	control
4	4	11	Um37-12	uninfected	control
5	5	11	Um37-12	uninfected	control
6	6	11	Um37-12	uninfected	control
7	7	9	Um37-12	uninfected	control
8	8	20	Um37-12	uninfected	control
9	5	14	Um37-12	uninfected	control
10	4	8	Um37-12	uninfected	control
11	10	14	Um37-12	uninfected	control
12	10	3	Um37-12	uninfected	control
13	10	3	Um37-12	uninfected	control
14	10	10	Um37-12	uninfected	control
1	7	10	Um37-12	uninfected	tet
2	2	18	Um37-12	uninfected	tet
3	1	12	Um37-12	uninfected	tet
4	3	32	Um37-12	uninfected	tet
5	6	28	Um37-12	uninfected	tet
6	8	17	Um37-12	uninfected	tet
7	9	26	Um37-12	uninfected	tet
8	9	0	Um37-12	uninfected	tet
9	9	0	Um37-12	uninfected	tet
10	9	0	Um37-12	uninfected	tet
11	9	0	Um37-12	uninfected	tet
1	1	14	Um15-12	uninfected	control
2	2	19	Um15-12	uninfected	control
3	3	10	Um15-12	uninfected	control
4	4	17	Um15-12	uninfected	control
5	5	10	Um15-12	uninfected	control
6	7	8	Um15-12	uninfected	control
7	8	22	Um15-12	uninfected	control
8	9	20	Um15-12	uninfected	control
9	2	13	Um15-12	uninfected	control
1	1	8	Um15-12	uninfected	tet
2	3	12	Um15-12	uninfected	tet
3	4	8	Um15-12	uninfected	tet
4	5	22	Um15-12	uninfected	tet
5	3	13	Um15-12	uninfected	tet
6	4	15	Um15-12	uninfected	tet
7	2	9	Um15-12	uninfected	tet
8	4	14	Um15-12	uninfected	tet
9	6	11	Um15-12	uninfected	tet
10	7	21	Um15-12	uninfected	tet
11	1	18	Um15-12	uninfected	tet
12	3	19	Um15-12	uninfected	tet
13	3	4	Um15-12	uninfected	tet
14	3	4	Um15-12	uninfected	tet
15	3	5	Um15-12	uninfected	tet
1	1	6	CS	wMelCS	control
2	2	8	CS	wMelCS	control
3	3	9	CS	wMelCS	control
4	4	6	CS	wMelCS	control
5	5	7	CS	wMelCS	control
6	6	15	CS	wMelCS	control
7	7	16	CS	wMelCS	control
8	8	9	CS	wMelCS	control
9	9	9	CS	wMelCS	control
10	10	9	CS	wMelCS	control
11	11	7	CS	wMelCS	control
12	12	4	CS	wMelCS	control
13	13	8	CS	wMelCS	control
14	14	8	CS	wMelCS	control
15	15	8	CS	wMelCS	control
1	1	2	CS	wMelCS	tet
2	2	3	CS	wMelCS	tet
3	3	2	CS	wMelCS	tet
4	4	6	CS	wMelCS	tet
5	5	5	CS	wMelCS	tet
6	6	8	CS	wMelCS	tet
7	7	3	CS	wMelCS	tet
8	8	6	CS	wMelCS	tet
9	9	7	CS	wMelCS	tet
10	10	2	CS	wMelCS	tet
11	11	3	CS	wMelCS	tet
12	12	2	CS	wMelCS	tet
13	13	2	CS	wMelCS	tet
14	14	12	CS	wMelCS	tet
