num	quantity_flies	line	antibiotic	H2O2_stat	original_infect_status	treatment
1	0	C-S	contr	sucrose	wMelCS	H2O2
2	80	C-S	contr	sucrose	wMelCS	H2O2
3	40	C-S	contr	sucrose	wMelCS	H2O2
4	0	C-S	contr	sucrose	wMelCS	H2O2
5	90	C-S	contr	sucrose	wMelCS	H2O2
6	10	C-S	contr	sucrose	wMelCS	H2O2
7	50	C-S	contr	sucrose	wMelCS	H2O2
8	30	C-S	contr	sucrose	wMelCS	H2O2
9	70	C-S	contr	sucrose	wMelCS	H2O2
10	80	C-S	contr	sucrose	wMelCS	H2O2
1	80	C-S	tet	sucrose	wMelCS	H2O2
2	70	C-S	tet	sucrose	wMelCS	H2O2
3	70	C-S	tet	sucrose	wMelCS	H2O2
4	100	C-S	tet	sucrose	wMelCS	H2O2
5	60	C-S	tet	sucrose	wMelCS	H2O2
6	60	C-S	tet	sucrose	wMelCS	H2O2
7	60	C-S	tet	sucrose	wMelCS	H2O2
8	30	C-S	tet	sucrose	wMelCS	H2O2
9	40	C-S	tet	sucrose	wMelCS	H2O2
10	90	C-S	tet	sucrose	wMelCS	H2O2
1	10	C-S	contr	H2O2	wMelCS	H2O2
2	20	C-S	contr	H2O2	wMelCS	H2O2
3	20	C-S	contr	H2O2	wMelCS	H2O2
4	0	C-S	contr	H2O2	wMelCS	H2O2
5	20	C-S	contr	H2O2	wMelCS	H2O2
6	30	C-S	contr	H2O2	wMelCS	H2O2
7	0	C-S	contr	H2O2	wMelCS	H2O2
8	30	C-S	contr	H2O2	wMelCS	H2O2
9	20	C-S	contr	H2O2	wMelCS	H2O2
10	40	C-S	contr	H2O2	wMelCS	H2O2
1	0	C-S	tet	H2O2	wMelCS	H2O2
2	0	C-S	tet	H2O2	wMelCS	H2O2
3	30	C-S	tet	H2O2	wMelCS	H2O2
4	20	C-S	tet	H2O2	wMelCS	H2O2
5	10	C-S	tet	H2O2	wMelCS	H2O2
6	0	C-S	tet	H2O2	wMelCS	H2O2
7	20	C-S	tet	H2O2	wMelCS	H2O2
8	20	C-S	tet	H2O2	wMelCS	H2O2
9	30	C-S	tet	H2O2	wMelCS	H2O2
10	0	C-S	tet	H2O2	wMelCS	H2O2
1	80	Um15-12	contr	sucrose	uninfected	H2O2
2	80	Um15-12	contr	sucrose	uninfected	H2O2
3	80	Um15-12	contr	sucrose	uninfected	H2O2
4	80	Um15-12	contr	sucrose	uninfected	H2O2
5	70	Um15-12	contr	sucrose	uninfected	H2O2
6	70	Um15-12	contr	sucrose	uninfected	H2O2
